"ANEXO POR DEPOSITO","AGENCIAS Y REPRESENTACIONES CORDOVEZ S.A.","EN DOLARES AMERICANOS"," Al 26/08/2020","Página -1 de 1","NOMBRE Y CARACTERISTICAS DE LA MERCADERIA","MEDIDA","CANTIDAD","VALOR CIF","SUCURSAL QUITO","Depósito :","MA20190315","0007326","104/19","EMFCL-102590","F.Ingreso ALM:",26/jun/2019,"V019526","VINO ESPUMOSO DOM POTIER DEMI SEC 6 X 750","UN","6.210,00","16.642,84","Total depósito  -->","MA20190315","6.210,00","16.642,84","Total oficina -->","SUCURSAL QUITO","1.709.952,00","7.844.136,04"
"ANEXO POR DEPOSITO","AGENCIAS Y REPRESENTACIONES CORDOVEZ S.A.","EN DOLARES AMERICANOS"," Al 26/08/2020","Página -1 de 1","NOMBRE Y CARACTERISTICAS DE LA MERCADERIA","MEDIDA","CANTIDAD","VALOR CIF","SUCURSAL QUITO","Depósito :","MA20190329","0007369","131/19","BQEGCLS188687","F.Ingreso ALM:",03/jul/2019,"V019543","VINO BLANCO CLASSIC SERIES SAUVIGÑON BLANC 12 X 750","UN","9.912,00","15.473,38","Total depósito  -->","MA20190329","9.912,00","15.473,38","Total oficina -->","SUCURSAL QUITO","1.709.952,00","7.844.136,04"
"ANEXO POR DEPOSITO","AGENCIAS Y REPRESENTACIONES CORDOVEZ S.A.","EN DOLARES AMERICANOS"," Al 26/08/2020","Página -1 de 1","NOMBRE Y CARACTERISTICAS DE LA MERCADERIA","MEDIDA","CANTIDAD","VALOR CIF","SUCURSAL QUITO","Depósito :","MA20190362","0007430","147/19","BQEGCLS190794","F.Ingreso ALM:",25/jul/2019,"V019622","VINO TINTO CABERNET SAUVIGÑON FRONTERA 12 X 750","UN","10.584,00","21.420,79","Total depósito  -->","MA20190362","11.760,00","23.800,88","Total oficina -->","SUCURSAL QUITO","1.709.952,00","7.844.136,04"
"ANEXO POR DEPOSITO","AGENCIAS Y REPRESENTACIONES CORDOVEZ S.A.","EN DOLARES AMERICANOS"," Al 26/08/2020","Página -1 de 1","NOMBRE Y CARACTERISTICAS DE LA MERCADERIA","MEDIDA","CANTIDAD","VALOR CIF","SUCURSAL QUITO","Depósito :","MA20190362","0007430","147/19","BQEGCLS190794","F.Ingreso ALM:",25/jul/2019,"V019623","VINO TINTO CARMENERE FRONTERA 12 X 750","UN","1.176,00","2.380,09","Total depósito  -->","MA20190362","11.760,00","23.800,88","Total oficina -->","SUCURSAL QUITO","1.709.952,00","7.844.136,04"
"ANEXO POR DEPOSITO","AGENCIAS Y REPRESENTACIONES CORDOVEZ S.A.","EN DOLARES AMERICANOS"," Al 26/08/2020","Página -1 de 1","NOMBRE Y CARACTERISTICAS DE LA MERCADERIA","MEDIDA","CANTIDAD","VALOR CIF","SUCURSAL QUITO","Depósito :","MA20190382","0007351","110/19","EMFCL-102759","F.Ingreso ALM:",05/ago/2019,"V019653","VINO TINTO VERONIA CRIANZA 12 X 375","UN","4.080,00","11.593,00","Total depósito  -->","MA20190382","5.880,00","20.361,31","Total oficina -->","SUCURSAL QUITO","1.709.952,00","7.844.136,04"
"ANEXO POR DEPOSITO","AGENCIAS Y REPRESENTACIONES CORDOVEZ S.A.","EN DOLARES AMERICANOS"," Al 26/08/2020","Página -1 de 1","NOMBRE Y CARACTERISTICAS DE LA MERCADERIA","MEDIDA","CANTIDAD","VALOR CIF","SUCURSAL QUITO","Depósito :","MA20190382","0007351","110/19","EMFCL-102759","F.Ingreso ALM:",05/ago/2019,"V019655","VINO BLANCO BERONIA VERDEJO RUEDA 6 X 750","UN","1.800,00","8.768,31","Total depósito  -->","MA20190382","5.880,00","20.361,31","Total oficina -->","SUCURSAL QUITO","1.709.952,00","7.844.136,04"
"ANEXO POR DEPOSITO","AGENCIAS Y REPRESENTACIONES CORDOVEZ S.A.","EN DOLARES AMERICANOS"," Al 26/08/2020","Página -1 de 1","NOMBRE Y CARACTERISTICAS DE LA MERCADERIA","MEDIDA","CANTIDAD","VALOR CIF","SUCURSAL QUITO","Depósito :","MA20190392","0007429","146/19","BQEGCLS191655","F.Ingreso ALM:",14/ago/2019,"V019684","VINO CABERNET SAUVIGÑON CASILLERO DEL DIABLO 12 X 750","UN","6.000,00","20.183,84","Total depósito  -->","MA20190392","6.000,00","20.183,84","Total oficina -->","SUCURSAL QUITO","1.709.952,00","7.844.136,04"
"ANEXO POR DEPOSITO","AGENCIAS Y REPRESENTACIONES CORDOVEZ S.A.","EN DOLARES AMERICANOS"," Al 26/08/2020","Página -1 de 1","NOMBRE Y CARACTERISTICAS DE LA MERCADERIA","MEDIDA","CANTIDAD","VALOR CIF","SUCURSAL QUITO","Depósito :","MA20190419","0007540","158/19","BQEGCLS191954","F.Ingreso ALM:",20/ago/2019,"V019746","VINO TINTO MARQUES DE CASA CONCHA RESERVA MERLOT CHILE 12 X 750ML","UN","1.152,00","9.089,18","Total depósito  -->","MA20190419","9.948,00","26.262,72","Total oficina -->","SUCURSAL QUITO","1.709.952,00","7.844.136,04"
"ANEXO POR DEPOSITO","AGENCIAS Y REPRESENTACIONES CORDOVEZ S.A.","EN DOLARES AMERICANOS"," Al 26/08/2020","Página -1 de 1","NOMBRE Y CARACTERISTICAS DE LA MERCADERIA","MEDIDA","CANTIDAD","VALOR CIF","SUCURSAL QUITO","Depósito :","MA20190419","0007540","158/19","BQEGCLS191954","F.Ingreso ALM:",20/ago/2019,"V019747","VINO TINTO DON MELCHOR GRAN RESERVA CABERNET SAUVIGNON 6 X 750 ML","UN","18,00","906,50","Total depósito  -->","MA20190419","9.948,00","26.262,72","Total oficina -->","SUCURSAL QUITO","1.709.952,00","7.844.136,04"
"ANEXO POR DEPOSITO","AGENCIAS Y REPRESENTACIONES CORDOVEZ S.A.","EN DOLARES AMERICANOS"," Al 26/08/2020","Página -1 de 1","NOMBRE Y CARACTERISTICAS DE LA MERCADERIA","MEDIDA","CANTIDAD","VALOR CIF","SUCURSAL QUITO","Depósito :","MA20190419","0007540","158/19","BQEGCLS191954","F.Ingreso ALM:",20/ago/2019,"V019748","VINO TINTO RESERVADO MERLOT 12 X 750 ML","UN","8.736,00","14.151,88","Total depósito  -->","MA20190419","9.948,00","26.262,72","Total oficina -->","SUCURSAL QUITO","1.709.952,00","7.844.136,04"
